               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.043309,             0.03029,           0.0032983,             0.75529,             0.71808,             0.75059,             0.44623,            0.037832,            0.013658,           0.0025616,              0.0037,              0.0037,              0.0037
                  37,              0.0425,            0.029554,           0.0032345,             0.81546,              0.6821,             0.77257,             0.46588,            0.037841,            0.013326,           0.0016464,             0.00352,             0.00352,             0.00352
                  38,            0.042595,            0.030151,           0.0030951,             0.76995,             0.69242,             0.75806,             0.43012,             0.03975,             0.01411,           0.0023943,             0.00334,             0.00334,             0.00334
                  39,            0.043001,            0.030647,           0.0029371,             0.78049,             0.71703,             0.76599,             0.46625,            0.037568,            0.013287,           0.0015046,             0.00316,             0.00316,             0.00316
                  40,            0.042121,             0.02993,           0.0032121,             0.77055,             0.71792,             0.77415,             0.47526,            0.037308,            0.013173,           0.0015346,             0.00298,             0.00298,             0.00298
                  41,            0.042129,            0.030483,           0.0029266,             0.79588,              0.7346,             0.78867,             0.48383,            0.036972,            0.013117,           0.0014461,              0.0028,              0.0028,              0.0028
                  42,            0.042721,            0.030563,           0.0030995,             0.77998,             0.72314,             0.77693,             0.47091,             0.03757,            0.013217,            0.001518,             0.00262,             0.00262,             0.00262
                  43,            0.041761,            0.029248,            0.003222,             0.80314,             0.70988,             0.77084,             0.47103,            0.036837,            0.013528,           0.0011404,             0.00244,             0.00244,             0.00244
                  44,            0.040856,            0.029211,           0.0028564,              0.7809,              0.7429,             0.79011,             0.48976,            0.036502,            0.012936,            0.001597,             0.00226,             0.00226,             0.00226
                  45,            0.041537,            0.029557,           0.0029229,              0.7979,             0.71827,             0.78636,             0.48693,             0.03638,            0.013148,           0.0012923,             0.00208,             0.00208,             0.00208
                  46,            0.041396,            0.029532,           0.0025906,             0.77548,             0.74914,             0.78945,             0.48769,            0.036363,            0.013099,           0.0013535,              0.0019,              0.0019,              0.0019
                  47,            0.040828,            0.028817,           0.0025529,             0.79258,             0.72078,              0.7854,             0.48756,            0.036221,            0.013424,           0.0012657,             0.00172,             0.00172,             0.00172
                  48,            0.041256,            0.029433,           0.0022705,             0.81587,             0.72665,             0.78833,             0.49635,            0.036049,            0.013045,           0.0012659,             0.00154,             0.00154,             0.00154
                  49,            0.041368,            0.029606,           0.0024064,             0.80032,             0.72141,              0.7868,             0.49391,            0.035791,            0.012995,           0.0011175,             0.00136,             0.00136,             0.00136
