               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.061688,            0.042029,           0.0089234,             0.65291,             0.21608,             0.33003,             0.13443,            0.058717,            0.024293,            0.027591,            0.070769,           0.0032479,           0.0032479
                   1,            0.046037,             0.03137,           0.0034273,             0.73812,             0.63902,             0.70729,             0.37899,            0.042436,            0.015653,           0.0057788,            0.040651,           0.0064627,           0.0064627
                   2,             0.04365,            0.029136,           0.0032709,             0.64106,              0.5053,             0.54329,             0.28495,            0.046625,            0.017349,            0.011388,            0.010412,           0.0095576,           0.0095576
                   3,            0.043361,            0.030125,           0.0043901,             0.60894,              0.5734,             0.62213,             0.31944,            0.043623,            0.016851,           0.0092563,             0.00946,             0.00946,             0.00946
                   4,            0.042258,            0.029978,           0.0041812,             0.66763,             0.68602,             0.69802,             0.40618,            0.039691,            0.023729,           0.0051023,             0.00946,             0.00946,             0.00946
                   5,            0.041079,               0.029,           0.0040994,             0.78411,             0.68858,             0.75126,             0.43181,            0.039216,            0.015001,           0.0029898,             0.00928,             0.00928,             0.00928
                   6,             0.04131,            0.028527,           0.0033316,             0.76295,             0.72534,             0.77118,             0.46423,            0.037376,            0.014503,           0.0038782,              0.0091,              0.0091,              0.0091
                   7,            0.040319,            0.028917,           0.0031969,             0.75707,             0.70612,             0.74723,             0.43973,            0.038767,            0.014028,           0.0034529,             0.00892,             0.00892,             0.00892
                   8,            0.039621,            0.027955,           0.0034088,             0.69402,             0.62341,             0.69559,             0.40012,            0.037845,            0.015044,           0.0078171,             0.00874,             0.00874,             0.00874
                   9,            0.039349,            0.028268,           0.0029719,             0.79292,             0.77052,             0.81411,             0.50466,            0.035232,            0.013133,           0.0017844,             0.00856,             0.00856,             0.00856
                  10,            0.039052,            0.027716,           0.0026859,             0.78319,             0.77454,             0.80991,              0.5037,            0.034268,            0.013638,           0.0014974,             0.00838,             0.00838,             0.00838
                  11,            0.038767,            0.027052,           0.0022617,             0.86983,             0.72258,             0.81895,             0.52203,            0.034363,            0.012764,           0.0017809,              0.0082,              0.0082,              0.0082
                  12,            0.037826,             0.02708,           0.0022885,             0.81183,             0.72484,             0.80556,             0.48486,            0.035646,            0.013776,           0.0030311,             0.00802,             0.00802,             0.00802
                  13,            0.038057,            0.027279,           0.0021072,             0.80751,             0.73518,             0.79784,             0.49882,            0.034299,            0.012953,           0.0039082,             0.00784,             0.00784,             0.00784
                  14,            0.037487,            0.026542,           0.0021399,             0.83817,             0.74036,             0.81512,             0.53035,            0.033825,            0.012867,           0.0025099,             0.00766,             0.00766,             0.00766
                  15,            0.037713,            0.026742,           0.0020632,             0.85076,             0.76077,             0.83226,             0.52948,            0.033435,            0.012707,           0.0013729,             0.00748,             0.00748,             0.00748
                  16,             0.03726,            0.026132,           0.0018742,             0.82559,             0.78852,             0.83987,             0.53393,            0.033541,            0.012653,           0.0010305,              0.0073,              0.0073,              0.0073
                  17,             0.03684,             0.02633,           0.0020637,             0.81689,             0.77489,             0.81763,             0.51985,            0.034348,            0.012723,           0.0022679,             0.00712,             0.00712,             0.00712
                  18,             0.03684,            0.026457,           0.0020177,             0.81829,             0.75163,              0.8315,             0.53992,            0.032974,            0.012439,           0.0025235,             0.00694,             0.00694,             0.00694
