               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.076049,            0.045217,            0.019215,             0.74114,              0.2548,             0.35824,             0.14354,            0.070642,            0.026523,            0.021314,            0.070769,           0.0032479,           0.0032479
                   1,            0.057689,            0.033954,            0.006275,             0.60141,              0.5093,             0.54521,             0.23182,            0.057432,            0.017049,             0.01354,            0.040473,            0.006285,            0.006285
                   2,            0.053287,            0.032354,            0.005519,             0.42076,             0.47512,             0.38534,             0.15584,            0.054464,            0.021369,             0.01583,           0.0098769,           0.0090222,           0.0090222
                   3,            0.051491,            0.032435,           0.0063916,              0.4104,             0.61701,             0.46933,             0.18058,            0.053328,            0.040236,            0.016566,             0.00865,             0.00865,             0.00865
                   4,            0.049419,            0.032564,            0.005908,             0.49149,             0.49772,             0.43086,             0.18956,            0.050324,             0.05803,            0.010418,             0.00865,             0.00865,             0.00865
                   5,            0.047631,            0.031144,            0.005109,             0.66464,             0.53302,             0.58497,             0.27939,            0.046878,            0.018008,            0.013889,              0.0082,              0.0082,              0.0082
                   6,            0.047455,            0.030894,           0.0048157,             0.72668,              0.6608,             0.71316,             0.38197,            0.042634,            0.017945,           0.0036207,             0.00775,             0.00775,             0.00775
                   7,            0.046117,            0.031224,           0.0046409,             0.72542,             0.66373,             0.70973,             0.38939,             0.04137,            0.016267,           0.0039481,              0.0073,              0.0073,              0.0073
                   8,            0.045092,            0.029939,           0.0038181,             0.73055,             0.67428,             0.73249,             0.40512,            0.042029,            0.015364,           0.0038777,             0.00685,             0.00685,             0.00685
                   9,            0.044149,            0.030002,           0.0035609,             0.77578,             0.66029,             0.72305,             0.42102,            0.041001,            0.014185,           0.0033584,              0.0064,              0.0064,              0.0064
                  10,            0.043597,            0.029685,           0.0034289,             0.77095,             0.66538,              0.7357,             0.40421,            0.041865,            0.014366,           0.0063625,             0.00595,             0.00595,             0.00595
                  11,            0.043261,             0.02907,           0.0029686,             0.78113,             0.73388,              0.7825,             0.47029,            0.039149,            0.013326,           0.0017877,              0.0055,              0.0055,              0.0055
                  12,            0.042319,            0.029029,           0.0028572,             0.80884,             0.69663,             0.76769,             0.46057,             0.03793,            0.013181,           0.0032127,             0.00505,             0.00505,             0.00505
                  13,            0.041866,             0.02936,           0.0030429,              0.7959,             0.71855,             0.77573,             0.45232,            0.038707,            0.013914,           0.0017866,              0.0046,              0.0046,              0.0046
                  14,            0.041395,            0.028514,           0.0025786,             0.81458,             0.72018,             0.78778,             0.48481,            0.036944,             0.01303,           0.0019567,             0.00415,             0.00415,             0.00415
                  15,            0.041456,            0.028562,           0.0024671,             0.81638,             0.75624,             0.80675,              0.5042,              0.0359,            0.012735,           0.0015148,              0.0037,              0.0037,              0.0037
                  16,            0.040533,            0.028068,           0.0021558,             0.80658,             0.76745,             0.81322,             0.49779,            0.037821,            0.012576,           0.0016388,             0.00325,             0.00325,             0.00325
                  17,            0.040143,              0.0283,           0.0024418,             0.82356,             0.74785,             0.81079,             0.51709,            0.035745,            0.012408,           0.0016324,              0.0028,              0.0028,              0.0028
                  18,            0.039966,            0.028171,           0.0023849,             0.81905,             0.76102,             0.81541,              0.5312,            0.034729,            0.012484,           0.0010417,             0.00235,             0.00235,             0.00235
                  19,             0.03942,            0.027369,           0.0021843,             0.81871,             0.75729,             0.81871,             0.52481,            0.035557,             0.01234,           0.0010993,              0.0019,              0.0019,              0.0019
