               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.088218,            0.050952,            0.041158,             0.06828,              0.2422,            0.036853,           0.0053451,            0.082566,            0.025095,            0.071646,            0.070769,           0.0032479,           0.0032479
                   1,            0.068227,            0.038691,            0.015529,             0.41385,             0.38636,             0.34716,             0.14367,            0.064267,            0.019375,            0.028857,            0.040651,           0.0064627,           0.0064627
                   2,            0.059952,            0.036359,            0.011142,             0.28507,             0.23053,             0.10652,            0.037885,            0.062371,            0.027354,            0.049771,            0.010412,           0.0095576,           0.0095576
                   3,            0.056092,            0.036096,            0.011256,             0.20986,             0.26287,             0.13665,            0.049271,             0.05969,            0.040428,            0.027617,             0.00946,             0.00946,             0.00946
                   4,             0.05237,             0.03544,           0.0082616,             0.40445,             0.36859,             0.36301,             0.15975,            0.052328,            0.035712,            0.023488,             0.00946,             0.00946,             0.00946
                   5,            0.050344,            0.033923,           0.0079168,             0.51646,             0.60245,             0.56812,             0.28751,            0.046303,            0.021094,            0.011884,             0.00928,             0.00928,             0.00928
                   6,            0.049995,             0.03342,           0.0070703,             0.59786,             0.59957,             0.61295,             0.30529,            0.046851,            0.018729,           0.0059359,              0.0091,              0.0091,              0.0091
                   7,            0.048424,            0.033688,           0.0063468,             0.62553,             0.60744,             0.61449,             0.32794,              0.0438,            0.016814,           0.0056395,             0.00892,             0.00892,             0.00892
                   8,            0.047286,             0.03235,           0.0059059,             0.69244,             0.61585,             0.67035,             0.35019,            0.044384,            0.016051,           0.0045884,             0.00874,             0.00874,             0.00874
                   9,            0.046805,            0.032607,           0.0053579,             0.56846,             0.60421,               0.612,             0.34618,            0.042581,            0.016572,           0.0075308,             0.00856,             0.00856,             0.00856
                  10,            0.046385,            0.032178,           0.0052442,              0.7216,             0.62975,             0.68105,             0.36613,             0.04347,            0.015627,           0.0065132,             0.00838,             0.00838,             0.00838
                  11,            0.046255,            0.031884,           0.0051837,              0.6111,             0.60278,             0.61877,             0.33433,            0.041726,            0.014975,           0.0068801,              0.0082,              0.0082,              0.0082
                  12,            0.045208,            0.031606,           0.0049213,             0.69575,             0.56554,             0.65815,             0.36592,            0.043077,            0.015716,           0.0060308,             0.00802,             0.00802,             0.00802
                  13,            0.045033,            0.031683,           0.0041221,             0.71879,             0.67653,             0.71839,             0.38616,            0.041875,             0.01492,             0.00285,             0.00784,             0.00784,             0.00784
                  14,            0.044233,            0.030758,           0.0037909,             0.69113,             0.68532,             0.73009,              0.4143,            0.039791,            0.014434,           0.0020984,             0.00766,             0.00766,             0.00766
                  15,            0.044464,            0.030879,           0.0039885,             0.71914,             0.65344,             0.69837,             0.39466,            0.039499,             0.01421,           0.0054345,             0.00748,             0.00748,             0.00748
                  16,            0.043915,            0.030621,            0.003823,             0.74396,             0.70237,             0.75063,             0.43229,            0.040218,            0.013704,           0.0020909,              0.0073,              0.0073,              0.0073
                  17,            0.043747,            0.030741,           0.0038892,             0.69965,             0.67246,             0.69963,             0.41122,            0.040118,            0.014732,           0.0051643,             0.00712,             0.00712,             0.00712
                  18,            0.043313,            0.030633,           0.0039286,             0.75906,             0.67229,             0.73997,             0.43173,            0.039177,            0.014021,           0.0025185,             0.00694,             0.00694,             0.00694
                  19,            0.042993,            0.029941,            0.003911,             0.81463,             0.65696,             0.75167,             0.42423,            0.040557,            0.013888,           0.0016141,             0.00676,             0.00676,             0.00676
                  20,              0.0427,            0.030413,             0.00305,             0.75776,             0.72933,             0.76877,             0.45161,             0.03831,               0.014,           0.0019075,             0.00658,             0.00658,             0.00658
                  21,            0.042444,            0.029603,           0.0027794,             0.77824,             0.70823,             0.76183,             0.43675,            0.038837,            0.013846,           0.0024791,              0.0064,              0.0064,              0.0064
                  22,            0.042517,            0.029727,           0.0030778,             0.75211,             0.71909,             0.76954,             0.45762,            0.037521,            0.013977,           0.0014888,             0.00622,             0.00622,             0.00622
                  23,            0.041568,            0.029129,           0.0034106,             0.78979,             0.70922,             0.76679,             0.44878,            0.038246,            0.013309,            0.002088,             0.00604,             0.00604,             0.00604
                  24,            0.041824,            0.029391,           0.0033968,             0.77235,             0.73217,             0.77855,             0.46973,            0.037742,            0.013509,           0.0024079,             0.00586,             0.00586,             0.00586
                  25,            0.041663,            0.028458,           0.0024739,             0.77186,             0.71284,             0.77142,             0.44477,            0.039309,            0.013779,           0.0021382,             0.00568,             0.00568,             0.00568
                  26,            0.041059,            0.029228,           0.0024147,             0.81657,             0.73103,             0.79884,              0.4886,            0.037392,            0.013011,           0.0014397,              0.0055,              0.0055,              0.0055
                  27,              0.0407,            0.029414,            0.002699,             0.80935,             0.71811,              0.7925,             0.48034,             0.03684,            0.013147,           0.0026664,             0.00532,             0.00532,             0.00532
                  28,            0.040298,             0.02878,           0.0027362,             0.76757,              0.7204,             0.76139,             0.47119,            0.037246,            0.013405,           0.0016439,             0.00514,             0.00514,             0.00514
                  29,            0.040721,            0.028501,           0.0024875,             0.78199,             0.72726,             0.79126,             0.46699,            0.036824,            0.013199,           0.0011994,             0.00496,             0.00496,             0.00496
                  30,            0.040388,            0.028309,           0.0026217,             0.78381,             0.75237,             0.80199,             0.49525,            0.035564,            0.012746,          0.00096943,             0.00478,             0.00478,             0.00478
                  31,            0.040705,            0.028859,           0.0022782,             0.80228,             0.74471,             0.79379,             0.49621,            0.035829,            0.013169,           0.0017152,              0.0046,              0.0046,              0.0046
