               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.088879,            0.050446,            0.043471,            0.085693,            0.049383,            0.043551,           0.0047148,            0.085206,            0.026786,             0.06543,            0.070769,           0.0032479,           0.0032479
                   1,            0.066781,            0.039277,            0.015603,             0.31527,             0.35067,             0.28643,             0.10689,             0.06495,            0.020231,            0.036787,            0.040651,           0.0064627,           0.0064627
                   2,            0.058654,            0.036427,            0.011266,             0.23076,             0.39712,             0.22047,            0.085499,            0.056566,            0.052739,            0.021627,            0.010412,           0.0095576,           0.0095576
                   3,            0.055364,            0.035969,             0.01035,             0.25758,             0.29857,              0.2197,            0.096557,            0.056957,            0.047791,             0.03708,             0.00946,             0.00946,             0.00946
                   4,            0.052567,            0.035711,           0.0081338,             0.41053,             0.50896,             0.41162,             0.17481,            0.051863,            0.030183,            0.016169,             0.00946,             0.00946,             0.00946
                   5,            0.050398,            0.034155,           0.0083638,             0.50916,             0.50729,             0.49862,             0.24115,            0.047962,            0.021689,            0.015974,             0.00928,             0.00928,             0.00928
                   6,            0.050352,            0.033589,            0.007561,             0.58707,             0.63072,             0.61316,             0.32244,            0.044799,            0.018501,           0.0048916,              0.0091,              0.0091,              0.0091
                   7,             0.04879,            0.033872,           0.0066289,             0.59762,             0.58842,             0.58942,             0.28773,            0.045781,            0.017413,            0.011047,             0.00892,             0.00892,             0.00892
                   8,            0.047733,            0.032679,           0.0063605,             0.63393,             0.59116,             0.63755,             0.34263,            0.043558,            0.017159,           0.0099209,             0.00874,             0.00874,             0.00874
                   9,              0.0474,             0.03277,           0.0055966,             0.64601,             0.62581,             0.65698,             0.33365,            0.044757,            0.015421,            0.004443,             0.00856,             0.00856,             0.00856
                  10,            0.046668,            0.032369,           0.0053064,             0.65627,             0.62459,             0.66251,             0.35879,            0.043169,            0.015737,           0.0039803,             0.00838,             0.00838,             0.00838
                  11,            0.046467,            0.031745,           0.0051104,              0.6113,             0.62221,             0.65371,             0.34066,            0.042337,            0.015935,           0.0061609,              0.0082,              0.0082,              0.0082
                  12,            0.045514,            0.031672,           0.0047115,             0.67315,             0.61695,             0.66388,             0.34824,            0.043944,            0.015279,           0.0042841,             0.00802,             0.00802,             0.00802
                  13,            0.045279,            0.031905,           0.0044693,             0.69998,             0.64247,             0.67926,             0.35542,            0.042615,            0.015798,           0.0048238,             0.00784,             0.00784,             0.00784
                  14,            0.044669,            0.030756,           0.0041381,             0.73333,             0.63382,             0.71954,             0.38582,            0.041635,            0.014726,           0.0022995,             0.00766,             0.00766,             0.00766
                  15,            0.044812,            0.031092,           0.0039769,             0.74424,              0.6848,             0.74566,             0.42373,             0.03985,             0.01403,           0.0026196,             0.00748,             0.00748,             0.00748
                  16,            0.044208,            0.030627,           0.0034642,             0.73006,             0.68705,             0.74043,             0.42289,            0.040127,            0.014302,           0.0017252,              0.0073,              0.0073,              0.0073
                  17,            0.044023,            0.030842,           0.0038814,             0.73984,             0.67216,             0.72988,             0.41497,            0.040575,            0.014126,           0.0033733,             0.00712,             0.00712,             0.00712
                  18,            0.043769,            0.030851,            0.004052,             0.73515,             0.67362,             0.72909,             0.40946,            0.040819,            0.014539,           0.0030115,             0.00694,             0.00694,             0.00694
                  19,            0.043511,            0.030054,           0.0038698,             0.70978,             0.60423,             0.68109,             0.37772,            0.043225,            0.014644,           0.0043584,             0.00676,             0.00676,             0.00676
                  20,            0.043287,            0.030548,           0.0033524,             0.77017,             0.70062,             0.76491,             0.44684,            0.037723,            0.013492,            0.001839,             0.00658,             0.00658,             0.00658
                  21,            0.042777,            0.029932,           0.0031675,             0.76687,             0.68939,             0.74944,             0.42641,            0.039548,            0.014214,           0.0021643,              0.0064,              0.0064,              0.0064
                  22,            0.042879,            0.030022,           0.0035515,             0.80682,             0.71364,             0.78045,             0.45839,            0.038811,            0.013544,           0.0013213,             0.00622,             0.00622,             0.00622
                  23,            0.041909,             0.02941,           0.0035496,             0.73937,             0.71309,             0.76048,             0.44794,             0.03817,             0.01362,           0.0020121,             0.00604,             0.00604,             0.00604
                  24,            0.042068,             0.02966,           0.0033464,             0.75494,             0.70305,             0.77011,             0.44632,            0.038275,            0.013617,           0.0021144,             0.00586,             0.00586,             0.00586
                  25,            0.041823,            0.028722,           0.0025901,             0.77504,             0.71782,             0.77072,             0.46245,            0.037736,            0.013235,            0.002118,             0.00568,             0.00568,             0.00568
                  26,            0.041449,            0.029502,           0.0025464,             0.82012,              0.7131,             0.78832,              0.4782,            0.037362,            0.013149,           0.0015861,              0.0055,              0.0055,              0.0055
                  27,            0.041033,             0.02954,           0.0026268,             0.78725,             0.70792,             0.77589,             0.46288,            0.037084,            0.013492,           0.0021374,             0.00532,             0.00532,             0.00532
                  28,            0.040492,            0.028901,           0.0026151,             0.73986,             0.72819,             0.76832,             0.47564,            0.037363,            0.013483,           0.0028364,             0.00514,             0.00514,             0.00514
                  29,            0.041115,            0.028568,           0.0026305,             0.74403,             0.74681,             0.78943,             0.47335,            0.036372,            0.013449,           0.0014233,             0.00496,             0.00496,             0.00496
                  30,            0.040778,            0.028547,           0.0026628,             0.80658,             0.72027,              0.7928,             0.48028,            0.035904,            0.013048,          0.00094914,             0.00478,             0.00478,             0.00478
                  31,            0.041111,            0.029124,            0.002427,             0.79476,             0.74212,             0.80182,             0.48608,            0.035974,            0.013186,           0.0013741,              0.0046,              0.0046,              0.0046
                  32,            0.039616,            0.027827,           0.0025726,              0.8051,              0.7326,             0.79601,             0.48183,             0.03617,             0.01299,            0.001098,             0.00442,             0.00442,             0.00442
