               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.038755,            0.027322,            0.001491,             0.87692,             0.77642,             0.85105,             0.54063,            0.033481,            0.012352,          0.00092147,            0.070769,           0.0032479,           0.0032479
                   1,            0.035633,            0.024191,           0.0010132,             0.87909,             0.78485,             0.86001,             0.56582,            0.032111,            0.011957,          0.00099581,            0.040651,           0.0064627,           0.0064627
                   2,            0.036753,            0.024029,           0.0014575,             0.86815,             0.74684,             0.83304,             0.53015,            0.035855,            0.012763,           0.0013818,            0.010412,           0.0095576,           0.0095576
                   3,            0.036921,             0.02557,           0.0020826,              0.7969,             0.69756,             0.77586,             0.45414,            0.036837,            0.013858,           0.0024657,             0.00946,             0.00946,             0.00946
                   4,            0.037216,            0.026141,           0.0019181,             0.78983,             0.74881,             0.79154,              0.4994,            0.033998,            0.016192,           0.0032789,             0.00946,             0.00946,             0.00946
                   5,            0.036364,            0.025602,           0.0023902,             0.80099,              0.7501,             0.80958,             0.49796,            0.034903,            0.013396,           0.0023841,             0.00928,             0.00928,             0.00928
                   6,            0.036802,             0.02566,           0.0025839,             0.84168,              0.7298,             0.80518,             0.50103,            0.034406,            0.013192,           0.0074854,              0.0091,              0.0091,              0.0091
                   7,            0.036391,            0.026325,           0.0026566,             0.85161,             0.76109,             0.83062,             0.53308,            0.032893,             0.01305,           0.0016273,             0.00892,             0.00892,             0.00892
                   8,            0.035888,            0.025351,           0.0020693,             0.84585,             0.75349,             0.83146,             0.52711,            0.032771,            0.012986,           0.0016953,             0.00874,             0.00874,             0.00874
                   9,            0.035423,            0.025581,           0.0019925,             0.80127,             0.80258,             0.84435,             0.54534,            0.032762,            0.012492,           0.0012053,             0.00856,             0.00856,             0.00856
                  10,            0.035565,            0.025278,           0.0019787,             0.85015,             0.78439,             0.84145,             0.54377,            0.032381,            0.012649,            0.001614,             0.00838,             0.00838,             0.00838
                  11,            0.035254,             0.02484,           0.0018528,             0.85007,              0.7801,              0.8454,             0.54439,            0.033053,            0.012448,           0.0015679,              0.0082,              0.0082,              0.0082
                  12,            0.034905,            0.025232,           0.0020044,             0.76366,              0.7572,             0.79596,              0.5035,            0.034463,            0.013779,           0.0047665,             0.00802,             0.00802,             0.00802
                  13,            0.035118,            0.025235,           0.0017598,             0.81848,             0.80673,             0.84019,             0.53224,            0.033049,            0.012424,           0.0014001,             0.00784,             0.00784,             0.00784
                  14,             0.03455,             0.02442,           0.0014585,             0.86481,             0.76284,             0.84612,             0.55965,            0.032628,            0.012222,           0.0021079,             0.00766,             0.00766,             0.00766
                  15,            0.034622,             0.02454,           0.0013887,             0.86893,             0.80417,             0.86283,             0.57898,            0.030977,            0.011779,          0.00091617,             0.00748,             0.00748,             0.00748
                  16,            0.034214,            0.024187,           0.0014079,             0.84639,             0.80959,             0.86086,             0.56367,            0.031795,             0.01274,           0.0011103,              0.0073,              0.0073,              0.0073
                  17,             0.03389,            0.024446,           0.0016951,             0.85475,             0.79032,             0.85225,             0.55817,             0.03252,            0.011982,          0.00095295,             0.00712,             0.00712,             0.00712
                  18,            0.034079,            0.024547,           0.0016136,             0.85944,             0.78196,              0.8384,             0.56133,            0.031716,            0.012582,           0.0014554,             0.00694,             0.00694,             0.00694
                  19,            0.033677,            0.023851,           0.0014479,             0.85885,             0.79756,             0.85872,             0.56527,            0.031791,            0.012113,          0.00094066,             0.00676,             0.00676,             0.00676
                  20,            0.033567,            0.024134,           0.0013636,             0.87173,             0.80627,             0.86734,             0.59038,            0.030522,            0.011649,           0.0010946,             0.00658,             0.00658,             0.00658
                  21,            0.033358,            0.023763,           0.0013725,             0.87244,             0.80542,             0.86109,             0.57136,            0.030813,            0.012164,           0.0011448,              0.0064,              0.0064,              0.0064
                  22,            0.033294,            0.023909,           0.0010649,             0.86738,             0.80958,             0.86403,             0.58292,            0.030896,            0.011873,          0.00058397,             0.00622,             0.00622,             0.00622
                  23,            0.032497,            0.023022,           0.0011812,             0.88162,             0.79611,             0.86985,             0.58149,            0.029871,            0.011939,           0.0010265,             0.00604,             0.00604,             0.00604
                  24,            0.032964,            0.023513,           0.0011367,             0.89065,             0.80147,             0.86643,              0.5929,            0.030812,            0.011703,           0.0016199,             0.00586,             0.00586,             0.00586
                  25,            0.032615,            0.022817,           0.0011263,             0.88304,              0.8175,             0.87488,             0.59851,            0.029949,            0.011379,          0.00092301,             0.00568,             0.00568,             0.00568
                  26,            0.032381,            0.023475,           0.0011124,             0.87893,             0.84023,             0.87907,             0.60239,            0.030192,            0.011285,          0.00051414,              0.0055,              0.0055,              0.0055
                  27,            0.032162,            0.023441,            0.001058,             0.88463,             0.79954,             0.87236,             0.60533,            0.030002,            0.011509,           0.0031673,             0.00532,             0.00532,             0.00532
                  28,             0.03174,            0.023051,           0.0010988,             0.88179,             0.79319,             0.87165,             0.60351,            0.029742,            0.011374,          0.00071754,             0.00514,             0.00514,             0.00514
                  29,            0.032147,            0.022623,           0.0009042,             0.89319,             0.81033,             0.86952,             0.58419,            0.030895,            0.011807,           0.0011137,             0.00496,             0.00496,             0.00496
                  30,             0.03184,            0.022705,           0.0011816,             0.88256,             0.81431,             0.88131,             0.61648,            0.029484,            0.011184,          0.00045633,             0.00478,             0.00478,             0.00478
                  31,            0.032273,            0.023212,           0.0010055,             0.89562,             0.81245,             0.87456,             0.60377,            0.029848,            0.011649,          0.00075669,              0.0046,              0.0046,              0.0046
                  32,            0.031146,            0.022113,           0.0011666,             0.87356,              0.8386,              0.8812,             0.61059,            0.029715,            0.011247,          0.00056423,             0.00442,             0.00442,             0.00442
                  33,            0.030886,            0.023003,           0.0010201,             0.87235,             0.82609,             0.87694,             0.61153,            0.029348,            0.011446,          0.00069418,             0.00424,             0.00424,             0.00424
                  34,            0.031242,            0.022386,           0.0010286,             0.90127,              0.8208,             0.88564,              0.6058,            0.029639,            0.011377,          0.00058804,             0.00406,             0.00406,             0.00406
                  35,            0.031376,            0.022839,          0.00096206,             0.88813,             0.83094,             0.87538,             0.61755,            0.028901,            0.011347,          0.00052737,             0.00388,             0.00388,             0.00388
                  36,            0.031679,            0.022563,          0.00088822,             0.89556,               0.832,             0.88334,             0.62109,            0.029115,             0.01111,          0.00047451,              0.0037,              0.0037,              0.0037
                  37,            0.030912,            0.021959,          0.00093043,             0.88966,              0.8264,             0.88831,              0.6203,            0.029092,            0.011109,          0.00087591,             0.00352,             0.00352,             0.00352
                  38,            0.030694,            0.022241,          0.00088957,             0.90641,              0.8236,             0.88925,             0.61836,            0.028857,            0.011047,          0.00063109,             0.00334,             0.00334,             0.00334
                  39,            0.030904,            0.022534,          0.00077024,             0.92095,             0.82442,             0.88472,             0.62368,            0.028653,            0.011006,          0.00048241,             0.00316,             0.00316,             0.00316
                  40,            0.030628,            0.022187,          0.00093935,             0.87572,             0.84349,             0.88395,             0.62006,            0.028577,             0.01129,          0.00056475,             0.00298,             0.00298,             0.00298
                  41,            0.030399,            0.022517,          0.00068904,             0.91277,              0.8249,             0.89558,             0.64182,            0.028114,            0.010803,          0.00036531,              0.0028,              0.0028,              0.0028
                  42,             0.03086,            0.022501,           0.0007177,             0.90647,             0.82379,             0.89528,             0.63961,            0.028175,            0.011022,          0.00045981,             0.00262,             0.00262,             0.00262
                  43,            0.030129,            0.021538,          0.00081331,             0.90354,             0.84207,               0.891,             0.63564,            0.028054,            0.011167,           0.0004734,             0.00244,             0.00244,             0.00244
                  44,            0.029491,            0.021276,          0.00076091,              0.9285,             0.80997,             0.88945,             0.64819,            0.027871,            0.011057,          0.00051043,             0.00226,             0.00226,             0.00226
                  45,            0.029789,            0.021719,          0.00072411,             0.88286,             0.85002,             0.89351,             0.64848,            0.027745,            0.011042,          0.00062016,             0.00208,             0.00208,             0.00208
                  46,            0.029719,            0.021591,          0.00071627,             0.91126,             0.83937,             0.89296,             0.63915,            0.028067,            0.011104,            0.000484,              0.0019,              0.0019,              0.0019
                  47,            0.029574,            0.021255,          0.00082448,             0.90051,             0.83581,             0.89103,             0.64286,            0.027816,            0.011221,          0.00043823,             0.00172,             0.00172,             0.00172
                  48,            0.029887,             0.02176,          0.00075288,             0.90197,              0.8463,             0.89286,             0.65265,            0.027618,            0.010986,          0.00053616,             0.00154,             0.00154,             0.00154
                  49,            0.029719,            0.021681,          0.00068397,             0.89156,             0.84312,             0.89455,             0.64816,             0.02748,             0.01096,          0.00041999,             0.00136,             0.00136,             0.00136
