               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10138,            0.032659,            0.048487,             0.40768,             0.18309,             0.11507,            0.029904,            0.080422,            0.043096,            0.039694,            0.070769,           0.0032479,           0.0032479
                   1,            0.068559,            0.035926,            0.029336,             0.47818,             0.38425,             0.34566,             0.13265,            0.065805,            0.020033,            0.020134,            0.040704,            0.006516,            0.006516
                   2,            0.064655,            0.032182,             0.01839,             0.67135,             0.43035,             0.38785,             0.15351,            0.061075,            0.018698,            0.014812,            0.010573,           0.0097182,           0.0097182
                   3,            0.059253,            0.031904,            0.013204,             0.35912,              0.4439,             0.33312,             0.14387,            0.058743,            0.046605,            0.022421,            0.009703,            0.009703,            0.009703
                   4,            0.053921,            0.032166,           0.0092315,             0.53632,             0.46886,              0.4886,             0.22914,            0.048872,            0.018375,            0.041395,            0.009703,            0.009703,            0.009703
                   5,            0.050176,            0.031288,            0.009044,             0.50993,             0.53596,             0.51964,             0.26177,            0.045718,            0.017407,            0.023284,            0.009604,            0.009604,            0.009604
                   6,            0.049698,            0.031089,           0.0077145,             0.64436,             0.60622,              0.6435,              0.3404,            0.043315,            0.014621,            0.007444,            0.009505,            0.009505,            0.009505
                   7,            0.048063,            0.031472,           0.0072791,             0.62972,             0.59155,             0.63744,             0.33676,            0.043261,            0.015298,            0.023429,            0.009406,            0.009406,            0.009406
                   8,            0.046314,            0.030487,           0.0065252,             0.76535,              0.6283,             0.69365,             0.35463,            0.042364,            0.016223,            0.010989,            0.009307,            0.009307,            0.009307
                   9,            0.046073,            0.030767,            0.005947,             0.62384,             0.57964,             0.59829,             0.33863,            0.042748,            0.018698,            0.013243,            0.009208,            0.009208,            0.009208
                  10,             0.04481,            0.030557,           0.0061432,             0.65396,             0.61633,             0.65203,             0.35711,            0.042132,            0.017216,            0.012059,            0.009109,            0.009109,            0.009109
                  11,            0.044804,            0.030208,           0.0054969,             0.64772,              0.4542,             0.53978,             0.28524,            0.042144,            0.016391,             0.02328,             0.00901,             0.00901,             0.00901
                  12,            0.043486,            0.030216,           0.0057662,             0.64226,             0.63229,              0.6717,             0.37731,            0.041084,             0.01734,           0.0082716,            0.008911,            0.008911,            0.008911
                  13,            0.043655,            0.030203,           0.0047195,             0.71892,             0.71296,             0.73548,             0.42905,            0.038686,            0.013853,           0.0033157,            0.008812,            0.008812,            0.008812
