               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.038319,            0.026105,           0.0022679,             0.85188,             0.74876,             0.81814,             0.51922,            0.034557,            0.012561,           0.0014764,            0.070769,           0.0032479,           0.0032479
                   1,            0.042341,             0.02699,           0.0023955,             0.78966,             0.72569,             0.77666,             0.44573,            0.038889,            0.013618,           0.0018877,            0.040443,           0.0062554,           0.0062554
                   2,            0.044158,            0.027413,           0.0034265,             0.74809,             0.66957,             0.72778,             0.39376,            0.043584,            0.014705,           0.0051555,           0.0097877,            0.008933,            0.008933
                   3,            0.043783,             0.02879,            0.004365,             0.80599,              0.6777,             0.75412,             0.42683,            0.040374,            0.013981,           0.0034554,            0.008515,            0.008515,            0.008515
                   4,            0.042871,             0.02931,           0.0041904,              0.6916,             0.56132,             0.68956,             0.36543,            0.042648,            0.017648,           0.0097521,            0.008515,            0.008515,            0.008515
                   5,            0.041779,            0.028686,           0.0045322,             0.75875,             0.68793,             0.74958,             0.43653,            0.037773,            0.014138,           0.0033878,             0.00802,             0.00802,             0.00802
                   6,            0.041657,            0.028434,           0.0038372,             0.75601,             0.70787,             0.76196,             0.44251,            0.037311,            0.013406,           0.0025515,            0.007525,            0.007525,            0.007525
                   7,            0.040629,            0.028947,            0.003764,             0.83377,             0.71912,             0.79756,             0.48833,            0.036479,            0.013359,           0.0018898,             0.00703,             0.00703,             0.00703
                   8,            0.039708,            0.027838,           0.0030757,             0.73865,             0.67479,             0.75937,             0.43879,            0.037669,            0.014164,           0.0073851,            0.006535,            0.006535,            0.006535
                   9,            0.039058,            0.027916,           0.0029142,             0.72341,              0.6445,             0.74359,             0.44312,            0.035654,            0.014835,           0.0042639,             0.00604,             0.00604,             0.00604
                  10,            0.038489,            0.027524,           0.0026134,             0.80095,             0.76714,             0.81516,             0.51338,            0.034245,            0.013067,            0.001466,            0.005545,            0.005545,            0.005545
                  11,            0.038046,            0.026921,           0.0024148,             0.79305,             0.77156,             0.81395,             0.52077,            0.033456,            0.012525,           0.0016305,             0.00505,             0.00505,             0.00505
                  12,            0.037025,            0.026904,           0.0023183,             0.84116,              0.7683,             0.82059,             0.52588,            0.033478,            0.013225,           0.0014359,            0.004555,            0.004555,            0.004555
                  13,            0.037091,            0.027175,           0.0021759,             0.78819,             0.79425,             0.82237,             0.53013,            0.033277,            0.012937,            0.001246,             0.00406,             0.00406,             0.00406
                  14,            0.036267,            0.026269,           0.0018041,             0.83344,             0.78899,             0.83672,             0.54152,            0.032578,            0.012154,           0.0010117,            0.003565,            0.003565,            0.003565
                  15,             0.03616,            0.026301,            0.001689,             0.82904,              0.7896,             0.83758,             0.54952,             0.03186,            0.012226,           0.0010592,             0.00307,             0.00307,             0.00307
                  16,            0.035497,            0.025865,           0.0017831,              0.8449,              0.7903,             0.84468,             0.54854,            0.031571,            0.012268,          0.00080275,            0.002575,            0.002575,            0.002575
                  17,            0.034987,            0.026071,           0.0019189,             0.85558,              0.7799,             0.84836,               0.556,            0.031464,            0.011824,           0.0012045,             0.00208,             0.00208,             0.00208
                  18,            0.034791,            0.025755,           0.0015938,              0.8542,             0.78002,             0.85091,              0.5738,            0.030528,            0.011918,           0.0010528,            0.001585,            0.001585,            0.001585
                  19,            0.034412,            0.025196,           0.0016863,             0.84242,             0.79636,             0.85384,             0.57338,            0.030344,              0.0118,           0.0007677,             0.00109,             0.00109,             0.00109
