               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.08394,            0.048822,            0.030487,           0.0027933,            0.054966,           0.0029455,          0.00083902,             0.09165,            0.022213,            0.064786,            0.070769,           0.0032479,           0.0032479
                   1,            0.061873,            0.037981,            0.011321,             0.32998,             0.32658,             0.25526,             0.11175,            0.058961,            0.018664,            0.043973,            0.040651,           0.0064627,           0.0064627
                   2,             0.05359,            0.035047,           0.0080109,             0.37194,             0.42789,             0.33726,             0.14373,            0.054453,             0.02505,            0.015961,            0.010412,           0.0095576,           0.0095576
                   3,            0.050755,            0.034463,           0.0080304,             0.39335,             0.53271,             0.41154,             0.18025,            0.050345,            0.030933,           0.0090271,             0.00946,             0.00946,             0.00946
