               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.083855,            0.048787,            0.030744,            0.018788,            0.042182,            0.013232,           0.0039698,            0.087875,            0.024518,            0.058783,            0.070769,           0.0032479,           0.0032479
                   1,            0.062342,            0.038006,            0.011517,             0.44743,             0.41559,             0.40351,             0.16868,            0.058258,            0.018026,            0.024081,            0.039585,           0.0053966,           0.0053966
                   2,            0.053337,            0.034731,           0.0072321,             0.69896,             0.38919,             0.41877,             0.18418,            0.053825,            0.019315,            0.024479,              0.0072,           0.0063453,           0.0063453
                   3,            0.049186,            0.033588,           0.0062294,             0.58075,              0.6028,             0.59627,             0.30015,            0.046185,            0.020164,            0.005102,              0.0046,              0.0046,              0.0046
                   4,            0.046562,            0.032653,           0.0044966,             0.61188,             0.63042,             0.61989,             0.33192,            0.044213,            0.018958,           0.0077459,              0.0046,              0.0046,              0.0046
