               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.033052,            0.021845,          0.00072415,             0.89579,             0.81223,              0.8774,             0.60573,            0.030198,            0.011338,          0.00084901,            0.070769,           0.0032479,           0.0032479
                   1,            0.035588,            0.022921,           0.0010455,             0.86644,             0.75973,             0.82997,             0.53348,            0.034418,             0.01185,           0.0013666,            0.040639,           0.0064509,           0.0064509
                   2,            0.036726,            0.023717,             0.00162,             0.83548,             0.73585,             0.81084,             0.49517,            0.037521,            0.012789,           0.0035115,            0.010377,           0.0095219,           0.0095219
                   3,            0.037708,            0.025814,           0.0024883,             0.79947,              0.7053,             0.78581,             0.47718,            0.037569,            0.013419,           0.0058867,            0.009406,            0.009406,            0.009406
                   4,             0.03758,            0.026299,           0.0023487,             0.75773,             0.71583,             0.76107,             0.44992,            0.035617,            0.016668,           0.0044945,            0.009406,            0.009406,            0.009406
                   5,            0.036685,            0.025786,             0.00295,             0.82025,             0.71039,             0.78827,             0.46521,             0.03674,            0.013904,           0.0037988,            0.009208,            0.009208,            0.009208
                   6,              0.0376,            0.026127,           0.0026306,             0.82652,             0.73629,             0.80606,             0.49538,            0.035612,            0.013376,           0.0039302,             0.00901,             0.00901,             0.00901
                   7,            0.036932,            0.026342,           0.0023932,             0.79525,             0.74941,              0.8318,             0.52929,            0.033371,            0.012713,           0.0029749,            0.008812,            0.008812,            0.008812
                   8,            0.036311,            0.025402,           0.0020628,             0.87528,             0.77679,             0.85761,             0.55609,             0.03256,            0.012295,           0.0012826,            0.008614,            0.008614,            0.008614
                   9,            0.035832,            0.025738,           0.0020411,             0.83124,             0.77279,             0.83942,             0.54069,            0.033264,            0.012605,           0.0014056,            0.008416,            0.008416,            0.008416
